Data as of,Start Date,End Date,Group,Year,Month,MMWR Week,Week Ending Date,State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/30/2023,06/28/2020,07/04/2020,By Week,2020,,27,07/04/2020,United States,"4,557","59,825",115,"4,576","2,013",5,"7,122",
01/30/2023,07/05/2020,07/11/2020,By Week,2020,,28,07/11/2020,United States,"5,786","61,945",121,"5,551","2,719",10,"8,626",
01/30/2023,07/12/2020,07/18/2020,By Week,2020,,29,07/18/2020,United States,"7,198","63,177",124,"6,200","3,458",13,"9,950",
01/30/2023,07/19/2020,07/25/2020,By Week,2020,,30,07/25/2020,United States,"8,250","64,249",127,"6,777","3,975",11,"11,058",
01/30/2023,07/26/2020,08/01/2020,By Week,2020,,31,08/01/2020,United States,"8,308","64,235",126,"6,857","4,085",13,"11,086",
01/30/2023,08/02/2020,08/08/2020,By Week,2020,,32,08/08/2020,United States,"7,870","63,719",125,"6,825","3,986",10,"10,716",
01/30/2023,08/09/2020,08/15/2020,By Week,2020,,33,08/15/2020,United States,"7,270","63,644",126,"6,523","3,683",5,"10,112",
01/30/2023,08/16/2020,08/22/2020,By Week,2020,,34,08/22/2020,United States,"6,389","62,562",124,"5,980","3,225",12,"9,153",
01/30/2023,08/23/2020,08/29/2020,By Week,2020,,35,08/29/2020,United States,"5,755","61,104",120,"5,556","2,894",12,"8,424",
01/30/2023,08/30/2020,09/05/2020,By Week,2020,,36,09/05/2020,United States,"5,021","60,247",118,"5,220","2,510",9,"7,736",
01/30/2023,09/06/2020,09/12/2020,By Week,2020,,37,09/12/2020,United States,"4,628","59,665",116,"4,949","2,298",7,"7,284",
01/30/2023,09/13/2020,09/19/2020,By Week,2020,,38,09/19/2020,United States,"4,280","59,740",116,"4,781","2,053",5,"7,013",
01/30/2023,09/20/2020,09/26/2020,By Week,2020,,39,09/26/2020,United States,"4,305","60,613",117,"4,949","2,120",4,"7,137",
01/30/2023,09/27/2020,10/03/2020,By Week,2020,,40,10/03/2020,United States,"4,246","59,802",114,"4,835","2,042",8,"7,047",
01/30/2023,10/04/2020,10/10/2020,By Week,2020,,41,10/10/2020,United States,"4,823","61,779",118,"5,193","2,370",13,"7,656",
01/30/2023,10/11/2020,10/17/2020,By Week,2020,,42,10/17/2020,United States,"5,204","60,643",114,"5,225","2,461",17,"7,978",
01/30/2023,10/18/2020,10/24/2020,By Week,2020,,43,10/24/2020,United States,"6,000","62,189",116,"5,656","2,752",15,"8,912",
01/30/2023,10/25/2020,10/31/2020,By Week,2020,,44,10/31/2020,United States,"7,031","63,425",118,"6,159","3,261",21,"9,945",
01/30/2023,11/01/2020,11/07/2020,By Week,2020,,45,11/07/2020,United States,"8,766","67,590",124,"7,100","4,090",21,"11,789",
01/30/2023,11/08/2020,11/14/2020,By Week,2020,,46,11/14/2020,United States,"10,654","68,823",125,"8,074","5,045",20,"13,697",
01/30/2023,11/15/2020,11/21/2020,By Week,2020,,47,11/21/2020,United States,"13,365","71,676",130,"9,435","6,333",30,"16,487",
01/30/2023,11/22/2020,11/28/2020,By Week,2020,,48,11/28/2020,United States,"15,628","73,305",133,"10,477","7,513",27,"18,605",
01/30/2023,11/29/2020,12/05/2020,By Week,2020,,49,12/05/2020,United States,"18,578","77,429",137,"12,097","8,913",34,"21,783",
01/30/2023,12/06/2020,12/12/2020,By Week,2020,,50,12/12/2020,United States,"20,940","82,006",143,"13,298","10,044",30,"24,209",
01/30/2023,12/13/2020,12/19/2020,By Week,2020,,51,12/19/2020,United States,"22,342","82,938",143,"14,323","11,027",32,"25,651",
01/30/2023,12/20/2020,12/26/2020,By Week,2020,,52,12/26/2020,United States,"23,399","84,371",144,"14,927","11,605",32,"26,737",
01/30/2023,12/27/2020,01/02/2021,By Week,2020/2021,,53,01/02/2021,United States,"24,892","87,033",148,"16,070","12,658",43,"28,322",
01/30/2023,01/03/2021,01/09/2021,By Week,2021,,1,01/09/2021,United States,"26,027","87,074",141,"16,843","13,460",32,"29,425",
01/30/2023,01/10/2021,01/16/2021,By Week,2021,,2,01/16/2021,United States,"25,738","87,415",140,"16,922","13,557",36,"29,127",
01/30/2023,01/17/2021,01/23/2021,By Week,2021,,3,01/23/2021,United States,"23,730","83,682",137,"15,807","12,587",31,"26,966",
01/30/2023,01/24/2021,01/30/2021,By Week,2021,,4,01/30/2021,United States,"20,362","79,202",133,"13,865","10,826",34,"23,420",
01/30/2023,01/31/2021,02/06/2021,By Week,2021,,5,02/06/2021,United States,"17,067","76,514",129,"12,280","9,198",28,"20,166",
01/30/2023,02/07/2021,02/13/2021,By Week,2021,,6,02/13/2021,United States,"13,550","71,513",120,"10,226","7,282",24,"16,510",
01/30/2023,02/14/2021,02/20/2021,By Week,2021,,7,02/20/2021,United States,"10,834","69,515",118,"8,944","5,880",15,"13,911",
01/30/2023,02/21/2021,02/27/2021,By Week,2021,,8,02/27/2021,United States,"8,674","66,740",115,"7,542","4,616",18,"11,610",
01/30/2023,02/28/2021,03/06/2021,By Week,2021,,9,03/06/2021,United States,"6,742","63,703",111,"6,591","3,643",26,"9,708",
01/30/2023,03/07/2021,03/13/2021,By Week,2021,,10,03/13/2021,United States,"5,733","61,867",107,"5,778","3,027",13,"8,493",
01/30/2023,03/14/2021,03/20/2021,By Week,2021,,11,03/20/2021,United States,"4,911","60,374",106,"5,318","2,549",6,"7,684",
01/30/2023,03/21/2021,03/27/2021,By Week,2021,,12,03/27/2021,United States,"4,464","60,817",107,"5,102","2,322",17,"7,258",
01/30/2023,03/28/2021,04/03/2021,By Week,2021,,13,04/03/2021,United States,"4,213","58,699",105,"4,775","2,135",17,"6,867",
01/30/2023,04/04/2021,04/10/2021,By Week,2021,,14,04/10/2021,United States,"4,325","60,998",109,"4,969","2,239",12,"7,065",
01/30/2023,04/11/2021,04/17/2021,By Week,2021,,15,04/17/2021,United States,"4,460","59,149",107,"4,964","2,362",7,"7,066",
01/30/2023,04/18/2021,04/24/2021,By Week,2021,,16,04/24/2021,United States,"4,614","60,260",112,"5,129","2,454",15,"7,301",
01/30/2023,04/25/2021,05/01/2021,By Week,2021,,17,05/01/2021,United States,"4,180","59,833",111,"4,890","2,229",6,"6,845",
01/30/2023,05/02/2021,05/08/2021,By Week,2021,,18,05/08/2021,United States,"4,015","59,014",110,"4,782","2,156",9,"6,648",
01/30/2023,05/09/2021,05/15/2021,By Week,2021,,19,05/15/2021,United States,"3,694","58,469",111,"4,543","2,020",10,"6,222",
01/30/2023,05/16/2021,05/22/2021,By Week,2021,,20,05/22/2021,United States,"3,245","58,760",112,"4,362","1,782",9,"5,833",
01/30/2023,05/23/2021,05/29/2021,By Week,2021,,21,05/29/2021,United States,"2,783","57,343",110,"4,031","1,546",5,"5,271",
01/30/2023,05/30/2021,06/05/2021,By Week,2021,,22,06/05/2021,United States,"2,353","57,459",111,"3,889","1,330",8,"4,918",
01/30/2023,06/06/2021,06/12/2021,By Week,2021,,23,06/12/2021,United States,"2,048","57,160",109,"3,765","1,124",6,"4,695",
01/30/2023,06/13/2021,06/19/2021,By Week,2021,,24,06/19/2021,United States,"1,783","57,243",111,"3,698",975,11,"4,513",
01/30/2023,06/20/2021,06/26/2021,By Week,2021,,25,06/26/2021,United States,"1,639","56,933",110,"3,483",859,8,"4,270",
01/30/2023,06/27/2021,07/03/2021,By Week,2021,,26,07/03/2021,United States,"1,548","57,530",112,"3,390",833,7,"4,111",
01/30/2023,07/04/2021,07/10/2021,By Week,2021,,27,07/10/2021,United States,"1,650","57,219",110,"3,564",899,3,"4,317",
01/30/2023,07/11/2021,07/17/2021,By Week,2021,,28,07/17/2021,United States,"1,995","57,217",112,"3,844","1,086",8,"4,759",
01/30/2023,07/18/2021,07/24/2021,By Week,2021,,29,07/24/2021,United States,"2,770","58,439",115,"4,234","1,550",9,"5,460",
01/30/2023,07/25/2021,07/31/2021,By Week,2021,,30,07/31/2021,United States,"4,126","60,317",119,"5,110","2,345",10,"6,900",
01/30/2023,08/01/2021,08/07/2021,By Week,2021,,31,08/07/2021,United States,"6,500","63,800",125,"6,553","3,750",12,"9,308",
01/30/2023,08/08/2021,08/14/2021,By Week,2021,,32,08/14/2021,United States,"9,424","67,050",131,"8,509","5,629",11,"12,311",
01/30/2023,08/15/2021,08/21/2021,By Week,2021,,33,08/21/2021,United States,"12,205","69,962",138,"10,183","7,253",10,"15,140",
01/30/2023,08/22/2021,08/28/2021,By Week,2021,,34,08/28/2021,United States,"14,208","72,188",143,"11,540","8,576",16,"17,180",
01/30/2023,08/29/2021,09/04/2021,By Week,2021,,35,09/04/2021,United States,"15,536","73,524",144,"12,345","9,505",32,"18,396",
01/30/2023,09/05/2021,09/11/2021,By Week,2021,,36,09/11/2021,United States,"15,448","73,745",144,"12,355","9,407",15,"18,404",
01/30/2023,09/12/2021,09/18/2021,By Week,2021,,37,09/18/2021,United States,"15,243","73,317",142,"12,199","9,155",17,"18,299",
01/30/2023,09/19/2021,09/25/2021,By Week,2021,,38,09/25/2021,United States,"14,375","72,188",140,"11,534","8,547",18,"17,376",
01/30/2023,09/26/2021,10/02/2021,By Week,2021,,39,10/02/2021,United States,"12,856","71,350",138,"10,707","7,728",19,"15,849",
01/30/2023,10/03/2021,10/09/2021,By Week,2021,,40,10/09/2021,United States,"11,196","69,136",132,"9,760","6,771",20,"14,201",
01/30/2023,10/10/2021,10/16/2021,By Week,2021,,41,10/16/2021,United States,"9,902","67,551",129,"8,875","5,889",11,"12,896",
01/30/2023,10/17/2021,10/23/2021,By Week,2021,,42,10/23/2021,United States,"8,957","67,064",126,"8,277","5,320",15,"11,923",
01/30/2023,10/24/2021,10/30/2021,By Week,2021,,43,10/30/2021,United States,"7,974","66,479",124,"7,808","4,737",14,"11,057",
01/30/2023,10/31/2021,11/06/2021,By Week,2021,,44,11/06/2021,United States,"7,302","66,623",124,"7,319","4,222",7,"10,406",
01/30/2023,11/07/2021,11/13/2021,By Week,2021,,45,11/13/2021,United States,"7,174","67,467",124,"7,223","4,119",26,"10,297",
01/30/2023,11/14/2021,11/20/2021,By Week,2021,,46,11/20/2021,United States,"7,325","66,964",122,"7,340","4,156",16,"10,518",
01/30/2023,11/21/2021,11/27/2021,By Week,2021,,47,11/27/2021,United States,"7,897","67,969",123,"7,602","4,397",19,"11,118",
01/30/2023,11/28/2021,12/04/2021,By Week,2021,,48,12/04/2021,United States,"8,792","70,182",127,"8,341","4,990",37,"12,174",
01/30/2023,12/05/2021,12/11/2021,By Week,2021,,49,12/11/2021,United States,"9,744","72,148",128,"9,002","5,567",57,"13,232",
01/30/2023,12/12/2021,12/18/2021,By Week,2021,,50,12/18/2021,United States,"10,267","71,335",125,"9,315","5,960",58,"13,672",
01/30/2023,12/19/2021,12/25/2021,By Week,2021,,51,12/25/2021,United States,"10,474","72,326",125,"9,439","5,939",87,"14,052",
01/30/2023,12/26/2021,01/01/2022,By Week,2021/2022,,52,01/01/2022,United States,"11,694","74,434",127,"10,064","6,467",152,"15,433",
01/30/2023,01/02/2022,01/08/2022,By Week,2022,,1,01/08/2022,United States,"15,138","79,788",130,"11,823","8,053",190,"19,058",
01/30/2023,01/09/2022,01/15/2022,By Week,2022,,2,01/15/2022,United States,"19,108","85,061",136,"13,555","9,944",142,"22,837",
01/30/2023,01/16/2022,01/22/2022,By Week,2022,,3,01/22/2022,United States,"21,369","85,632",141,"14,433","10,926",150,"24,982",
01/30/2023,01/23/2022,01/29/2022,By Week,2022,,4,01/29/2022,United States,"20,992","85,037",142,"14,278","10,871",93,"24,461",
01/30/2023,01/30/2022,02/05/2022,By Week,2022,,5,02/05/2022,United States,"18,762","81,151",137,"13,242","9,881",88,"22,177",
01/30/2023,02/06/2022,02/12/2022,By Week,2022,,6,02/12/2022,United States,"15,320","77,063",129,"11,098","8,012",85,"18,461",
01/30/2023,02/13/2022,02/19/2022,By Week,2022,,7,02/19/2022,United States,"11,553","70,826",120,"9,135","6,091",67,"14,646",
01/30/2023,02/20/2022,02/26/2022,By Week,2022,,8,02/26/2022,United States,"8,284","66,007",113,"7,293","4,244",65,"11,382",
01/30/2023,02/27/2022,03/05/2022,By Week,2022,,9,03/05/2022,United States,"6,046","64,427",112,"6,123","3,083",62,"9,135",
01/30/2023,03/06/2022,03/12/2022,By Week,2022,,10,03/12/2022,United States,"4,399","61,818",107,"4,827","2,039",64,"7,243",
01/30/2023,03/13/2022,03/19/2022,By Week,2022,,11,03/19/2022,United States,"3,120","60,533",106,"4,406","1,447",64,"6,137",
01/30/2023,03/20/2022,03/26/2022,By Week,2022,,12,03/26/2022,United States,"2,506","58,566",103,"3,947","1,090",84,"5,438",
01/30/2023,03/27/2022,04/02/2022,By Week,2022,,13,04/02/2022,United States,"1,907","58,012",104,"3,616",750,75,"4,847",
01/30/2023,04/03/2022,04/09/2022,By Week,2022,,14,04/09/2022,United States,"1,556","57,754",103,"3,332",549,95,"4,426",
01/30/2023,04/10/2022,04/16/2022,By Week,2022,,15,04/16/2022,United States,"1,403","57,788",104,"3,401",497,95,"4,392",
01/30/2023,04/17/2022,04/23/2022,By Week,2022,,16,04/23/2022,United States,"1,345","56,731",105,"3,314",478,105,"4,280",
01/30/2023,04/24/2022,04/30/2022,By Week,2022,,17,04/30/2022,United States,"1,424","57,335",107,"3,312",495,95,"4,331",
01/30/2023,05/01/2022,05/07/2022,By Week,2022,,18,05/07/2022,United States,"1,430","57,530",107,"3,255",467,83,"4,291",
01/30/2023,05/08/2022,05/14/2022,By Week,2022,,19,05/14/2022,United States,"1,665","57,955",110,"3,387",546,97,"4,598",
01/30/2023,05/15/2022,05/21/2022,By Week,2022,,20,05/21/2022,United States,"1,746","57,718",110,"3,528",544,89,"4,816",
01/30/2023,05/22/2022,05/28/2022,By Week,2022,,21,05/28/2022,United States,"1,939","57,145",110,"3,371",687,83,"4,701",
01/30/2023,05/29/2022,06/04/2022,By Week,2022,,22,06/04/2022,United States,"1,998","57,632",111,"3,532",668,83,"4,938",
01/30/2023,06/05/2022,06/11/2022,By Week,2022,,23,06/11/2022,United States,"2,127","58,088",111,"3,526",744,71,"4,976",
01/30/2023,06/12/2022,06/18/2022,By Week,2022,,24,06/18/2022,United States,"2,191","57,845",112,"3,572",771,74,"5,064",
01/30/2023,06/19/2022,06/25/2022,By Week,2022,,25,06/25/2022,United States,"2,324","58,348",113,"3,516",811,36,"5,059",
01/30/2023,06/26/2022,07/02/2022,By Week,2022,,26,07/02/2022,United States,"2,416","58,153",113,"3,482",849,40,"5,081",
01/30/2023,07/03/2022,07/09/2022,By Week,2022,,27,07/09/2022,United States,"2,581","58,213",112,"3,593",921,35,"5,283",
01/30/2023,07/10/2022,07/16/2022,By Week,2022,,28,07/16/2022,United States,"2,916","58,498",114,"3,591",969,18,"5,553",
01/30/2023,07/17/2022,07/23/2022,By Week,2022,,29,07/23/2022,United States,"3,218","59,825",117,"3,814","1,075",24,"5,976",
01/30/2023,07/24/2022,07/30/2022,By Week,2022,,30,07/30/2022,United States,"3,384","58,782",116,"3,811","1,174",23,"6,039",
01/30/2023,07/31/2022,08/06/2022,By Week,2022,,31,08/06/2022,United States,"3,351","59,220",116,"3,800","1,142",15,"6,021",
01/30/2023,08/07/2022,08/13/2022,By Week,2022,,32,08/13/2022,United States,"3,261","58,627",115,"3,828","1,173",14,"5,927",
01/30/2023,08/14/2022,08/20/2022,By Week,2022,,33,08/20/2022,United States,"3,140","58,409",115,"3,711","1,112",19,"5,751",
01/30/2023,08/21/2022,08/27/2022,By Week,2022,,34,08/27/2022,United States,"3,007","58,160",115,"3,673","1,067",14,"5,624",
01/30/2023,08/28/2022,09/03/2022,By Week,2022,,35,09/03/2022,United States,"2,899","58,025",114,"3,563","1,021",12,"5,452",
01/30/2023,09/04/2022,09/10/2022,By Week,2022,,36,09/10/2022,United States,"2,783","58,599",115,"3,584",932,18,"5,450",
01/30/2023,09/11/2022,09/17/2022,By Week,2022,,37,09/17/2022,United States,"2,481","58,161",113,"3,582",842,18,"5,236",
01/30/2023,09/18/2022,09/24/2022,By Week,2022,,38,09/24/2022,United States,"2,523","58,622",113,"3,568",848,19,"5,258",
01/30/2023,09/25/2022,10/01/2022,By Week,2022,,39,10/01/2022,United States,"2,354","58,382",113,"3,547",831,24,"5,088",
01/30/2023,10/02/2022,10/08/2022,By Week,2022,,40,10/08/2022,United States,"2,165","59,323",113,"3,515",723,28,"4,983",
01/30/2023,10/09/2022,10/15/2022,By Week,2022,,41,10/15/2022,United States,"2,107","59,430",114,"3,515",663,56,"5,009",
01/30/2023,10/16/2022,10/22/2022,By Week,2022,,42,10/22/2022,United States,"2,156","59,736",112,"3,779",730,55,"5,260",
01/30/2023,10/23/2022,10/29/2022,By Week,2022,,43,10/29/2022,United States,"2,200","59,614",111,"3,614",749,86,"5,146",
01/30/2023,10/30/2022,11/05/2022,By Week,2022,,44,11/05/2022,United States,"2,200","60,419",112,"3,729",756,149,"5,309",
01/30/2023,11/06/2022,11/12/2022,By Week,2022,,45,11/12/2022,United States,"2,149","60,314",111,"3,770",688,210,"5,430",
01/30/2023,11/13/2022,11/19/2022,By Week,2022,,46,11/19/2022,United States,"2,200","60,756",111,"3,869",728,241,"5,572",
01/30/2023,11/20/2022,11/26/2022,By Week,2022,,47,11/26/2022,United States,"2,415","63,310",115,"4,184",844,392,"6,131",
01/30/2023,11/27/2022,12/03/2022,By Week,2022,,48,12/03/2022,United States,"2,485","64,131",116,"4,495",875,792,"6,854",
01/30/2023,12/04/2022,12/10/2022,By Week,2022,,49,12/10/2022,United States,"2,883","64,436",114,"4,752","1,039",955,"7,502",
01/30/2023,12/11/2022,12/17/2022,By Week,2022,,50,12/17/2022,United States,"2,967","62,189",109,"4,616","1,066",964,"7,429",
01/30/2023,12/18/2022,12/24/2022,By Week,2022,,51,12/24/2022,United States,"2,906","59,843",103,"4,369","1,068",835,"6,992",
01/30/2023,12/25/2022,12/31/2022,By Week,2022,,52,12/31/2022,United States,"3,043","58,179",99,"4,494","1,081",812,"7,218",
01/30/2023,01/01/2023,01/07/2023,By Week,2023,,1,01/07/2023,United States,"3,184","56,028",91,"4,456","1,173",758,"7,177",
01/30/2023,01/08/2023,01/14/2023,By Week,2023,,2,01/14/2023,United States,"2,783","48,030",77,"3,723","1,047",462,"5,888",
01/30/2023,01/15/2023,01/21/2023,By Week,2023,,3,01/21/2023,United States,"1,926","35,455",58,"2,742",733,241,"4,155",
01/30/2023,01/22/2023,01/28/2023,By Week,2023,,4,01/28/2023,United States,482,"9,006",15,690,164,58,"1,064",
01/30/2023,12/29/2019,01/04/2020,By Week,2019/2020,,1,01/04/2020,Alabama,0,"1,082",94,63,0,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,01/05/2020,01/11/2020,By Week,2020,,2,01/11/2020,Alabama,0,"1,127",96,79,0,10,89,
01/30/2023,01/12/2020,01/18/2020,By Week,2020,,3,01/18/2020,Alabama,0,"1,039",91,62,0,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,01/19/2020,01/25/2020,By Week,2020,,4,01/25/2020,Alabama,,"1,056",94,62,0,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,01/26/2020,02/01/2020,By Week,2020,,5,02/01/2020,Alabama,0,"1,026",94,56,0,14,70,
01/30/2023,02/02/2020,02/08/2020,By Week,2020,,6,02/08/2020,Alabama,0,"1,120",101,61,0,10,71,
01/30/2023,02/09/2020,02/15/2020,By Week,2020,,7,02/15/2020,Alabama,0,"1,095",101,77,0,,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,02/16/2020,02/22/2020,By Week,2020,,8,02/22/2020,Alabama,0,"1,098",101,68,0,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,02/23/2020,02/29/2020,By Week,2020,,9,02/29/2020,Alabama,,"1,164",112,63,0,14,78,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,03/01/2020,03/07/2020,By Week,2020,,10,03/07/2020,Alabama,0,"1,057",101,58,0,13,71,
01/30/2023,03/08/2020,03/14/2020,By Week,2020,,11,03/14/2020,Alabama,0,"1,091",101,61,0,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,03/15/2020,03/21/2020,By Week,2020,,12,03/21/2020,Alabama,,"1,059",103,71,,,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,03/22/2020,03/28/2020,By Week,2020,,13,03/28/2020,Alabama,23,"1,073",105,69,,,93,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,03/29/2020,04/04/2020,By Week,2020,,14,04/04/2020,Alabama,49,"1,156",112,65,11,,106,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,04/05/2020,04/11/2020,By Week,2020,,15,04/11/2020,Alabama,81,"1,135",111,85,27,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,04/12/2020,04/18/2020,By Week,2020,,16,04/18/2020,Alabama,89,"1,149",117,94,26,0,157,
01/30/2023,04/19/2020,04/25/2020,By Week,2020,,17,04/25/2020,Alabama,85,"1,139",114,77,20,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,04/26/2020,05/02/2020,By Week,2020,,18,05/02/2020,Alabama,81,"1,147",116,87,26,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,05/03/2020,05/09/2020,By Week,2020,,19,05/09/2020,Alabama,116,"1,171",116,93,34,,175,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,05/10/2020,05/16/2020,By Week,2020,,20,05/16/2020,Alabama,96,"1,148",115,89,30,,156,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,05/17/2020,05/23/2020,By Week,2020,,21,05/23/2020,Alabama,82,"1,153",118,83,24,0,141,
01/30/2023,05/24/2020,05/30/2020,By Week,2020,,22,05/30/2020,Alabama,103,"1,109",114,95,30,,169,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,05/31/2020,06/06/2020,By Week,2020,,23,06/06/2020,Alabama,91,"1,173",116,86,33,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,06/07/2020,06/13/2020,By Week,2020,,24,06/13/2020,Alabama,81,"1,138",120,76,29,0,128,
01/30/2023,06/14/2020,06/20/2020,By Week,2020,,25,06/20/2020,Alabama,88,"1,090",112,80,25,0,143,
01/30/2023,06/21/2020,06/27/2020,By Week,2020,,26,06/27/2020,Alabama,103,"1,151",124,83,31,0,155,
01/30/2023,06/28/2020,07/04/2020,By Week,2020,,27,07/04/2020,Alabama,125,"1,201",122,94,48,,171,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,07/05/2020,07/11/2020,By Week,2020,,28,07/11/2020,Alabama,135,"1,265",127,95,36,0,194,
01/30/2023,07/12/2020,07/18/2020,By Week,2020,,29,07/18/2020,Alabama,192,"1,289",134,102,45,0,249,
01/30/2023,07/19/2020,07/25/2020,By Week,2020,,30,07/25/2020,Alabama,251,"1,333",143,137,89,,300,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/30/2023,07/26/2020,08/01/2020,By Week,2020,,31,08/01/2020,Alabama,263,"1,364",141,158,95,,327,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
