time,regions,n2o
1967,MDE,0.04
1967,CAM,0.04
1967,LAM,0.23
1967,SAS,0.33
1967,SEA,0.1
1967,CHI,0.1
1967,MAF,0.09
1967,SSA,0.17
1967,SIS,0.0
1968,USA,0.26
1968,CAN,0.04
1968,WEU,0.22
1968,JPK,0.03
1968,ANZ,0.02
1968,EEU,0.06
1968,FSU,0.03
1968,MDE,0.04
1968,CAM,0.04
1968,LAM,0.23
1968,SAS,0.34
1968,SEA,0.1
1968,CHI,0.11
1968,MAF,0.09
1968,SSA,0.17
1968,SIS,0.0
1969,USA,0.26
1969,CAN,0.04
1969,WEU,0.22
1969,JPK,0.03
1969,ANZ,0.02
1969,EEU,0.06
1969,FSU,0.03
1969,MDE,0.04
1969,CAM,0.04
1969,LAM,0.23
1969,SAS,0.34
1969,SEA,0.1
1969,CHI,0.11
1969,MAF,0.09
1969,SSA,0.17
1969,SIS,0.0
1970,USA,0.38
1970,CAN,0.05
1970,WEU,0.31
1970,JPK,0.04
1970,ANZ,0.03
1970,EEU,0.08
1970,FSU,0.05
1970,MDE,0.06
1970,CAM,0.06
1970,LAM,0.34
1970,SAS,0.49
1970,SEA,0.14
1970,CHI,0.15
1970,MAF,0.13
1970,SSA,0.25
1970,SIS,0.0
1971,USA,0.38
1971,CAN,0.05
1971,WEU,0.32
1971,JPK,0.04
1971,ANZ,0.04
1971,EEU,0.08
1971,FSU,0.05
1971,MDE,0.06
1971,CAM,0.06
1971,LAM,0.34
1971,SAS,0.49
1971,SEA,0.14
1971,CHI,0.15
1971,MAF,0.13
1971,SSA,0.25
1971,SIS,0.0
1972,USA,0.38
1972,CAN,0.05
1972,WEU,0.32
1972,JPK,0.04
1972,ANZ,0.04
1972,EEU,0.08
1972,FSU,0.05
1972,MDE,0.06
1972,CAM,0.06
1972,LAM,0.34
1972,SAS,0.49
1972,SEA,0.14
1972,CHI,0.16
1972,MAF,0.13
1972,SSA,0.25
1972,SIS,0.0
1973,USA,0.39
1973,CAN,0.05
1973,WEU,0.32
1973,JPK,0.04
1973,ANZ,0.04
1973,EEU,0.08
1973,FSU,0.05
1973,MDE,0.06
1973,CAM,0.06
1973,LAM,0.34
1973,SAS,0.5
1973,SEA,0.14
1973,CHI,0.16
1973,MAF,0.13
1973,SSA,0.25
1973,SIS,0.0
1974,USA,0.39
1974,CAN,0.05
1974,WEU,0.32
1974,JPK,0.04
1974,ANZ,0.04
1974,EEU,0.08
1974,FSU,0.05
1974,MDE,0.06
1974,CAM,0.06
1974,LAM,0.34
1974,SAS,0.5
1974,SEA,0.14
1974,CHI,0.16
1974,MAF,0.13
1974,SSA,0.25
1974,SIS,0.0
1975,USA,0.39
1975,CAN,0.05
1975,WEU,0.32
1975,JPK,0.04
1975,ANZ,0.04
1975,EEU,0.08
1975,FSU,0.05
1975,MDE,0.06
1975,CAM,0.06
1975,LAM,0.34
1975,SAS,0.5
1975,SEA,0.14
1975,CHI,0.16
1975,MAF,0.13
1975,SSA,0.25
1975,SIS,0.0
1976,USA,0.39
1976,CAN,0.05
1976,WEU,0.33
1976,JPK,0.04
1976,ANZ,0.04
1976,EEU,0.08
1976,FSU,0.05
1976,MDE,0.06
1976,CAM,0.06
1976,LAM,0.35
1976,SAS,0.5
1976,SEA,0.14
1976,CHI,0.16
1976,MAF,0.13
1976,SSA,0.26
1976,SIS,0.0
1977,USA,0.39
1977,CAN,0.05
1977,WEU,0.33
1977,JPK,0.04
1977,ANZ,0.04
1977,EEU,0.09
1977,FSU,0.05
1977,MDE,0.06
1977,CAM,0.06
1977,LAM,0.35
1977,SAS,0.51
1977,SEA,0.15
1977,CHI,0.16
1977,MAF,0.14
1977,SSA,0.26
1977,SIS,0.0
1978,USA,0.4
1978,CAN,0.05
1978,WEU,0.33
1978,JPK,0.04
1978,ANZ,0.04
1978,EEU,0.09
1978,FSU,0.05
1978,MDE,0.06
1978,CAM,0.06
1978,LAM,0.35
1978,SAS,0.51
1978,SEA,0.15
1978,CHI,0.16
1978,MAF,0.14
1978,SSA,0.26
1978,SIS,0.0
1979,USA,0.4
1979,CAN,0.05
1979,WEU,0.33
1979,JPK,0.04
1979,ANZ,0.04
1979,EEU,0.09
1979,FSU,0.05
1979,MDE,0.06
1979,CAM,0.06
1979,LAM,0.35
1979,SAS,0.51
1979,SEA,0.15
1979,CHI,0.16
1979,MAF,0.14
1979,SSA,0.26
1979,SIS,0.0
1980,USA,0.64
1980,CAN,0.09
1980,WEU,0.53
1980,JPK,0.07
1980,ANZ,0.06
1980,EEU,0.14
1980,FSU,0.08
1980,MDE,0.1
1980,CAM,0.1
1980,LAM,0.57
1980,SAS,0.82
1980,SEA,0.24
1980,CHI,0.26
1980,MAF,0.22
1980,SSA,0.42
1980,SIS,0.01
1981,USA,0.64
1981,CAN,0.09
1981,WEU,0.53
1981,JPK,0.07
1981,ANZ,0.06
1981,EEU,0.14
1981,FSU,0.08
1981,MDE,0.1
1981,CAM,0.1
1981,LAM,0.57
1981,SAS,0.83
1981,SEA,0.24
1981,CHI,0.26
1981,MAF,0.22
1981,SSA,0.42
1981,SIS,0.01
1982,USA,0.65
1982,CAN,0.09
1982,WEU,0.54
1982,JPK,0.07
1982,ANZ,0.06
1982,EEU,0.14
1982,FSU,0.08
1982,MDE,0.1
1982,CAM,0.1
1982,LAM,0.57
1982,SAS,0.83
1982,SEA,0.24
1982,CHI,0.26
1982,MAF,0.22
1982,SSA,0.42
1982,SIS,0.01
1983,USA,0.65
1983,CAN,0.09
1983,WEU,0.54
1983,JPK,0.07
1983,ANZ,0.06
1983,EEU,0.14
1983,FSU,0.08
1983,MDE,0.1
1983,CAM,0.1
1983,LAM,0.58
1983,SAS,0.84
1983,SEA,0.24
1983,CHI,0.26
1983,MAF,0.22
1983,SSA,0.43
1983,SIS,0.01
1984,USA,0.66
1984,CAN,0.09
1984,WEU,0.54
1984,JPK,0.07
1984,ANZ,0.06
1984,EEU,0.14
1984,FSU,0.08
1984,MDE,0.1
1984,CAM,0.11
1984,LAM,0.58
1984,SAS,0.84
1984,SEA,0.24
1984,CHI,0.27
1984,MAF,0.23
1984,SSA,0.43
1984,SIS,0.01
1985,USA,0.66
1985,CAN,0.09
1985,WEU,0.55
1985,JPK,0.07
1985,ANZ,0.06
1985,EEU,0.14
1985,FSU,0.08
1985,MDE,0.1
1985,CAM,0.11
1985,LAM,0.58
1985,SAS,0.85
1985,SEA,0.24
1985,CHI,0.27
1985,MAF,0.23
1985,SSA,0.43
1985,SIS,0.01
1986,USA,0.66
1986,CAN,0.09
1986,WEU,0.55
1986,JPK,0.07
1986,ANZ,0.06
1986,EEU,0.14
1986,FSU,0.08
1986,MDE,0.1
1986,CAM,0.11
1986,LAM,0.59
1986,SAS,0.85
1986,SEA,0.24
1986,CHI,0.27
1986,MAF,0.23
1986,SSA,0.43
1986,SIS,0.01
1987,USA,0.67
1987,CAN,0.09
1987,WEU,0.55
1987,JPK,0.07
1987,ANZ,0.06
1987,EEU,0.14
1987,FSU,0.08
1987,MDE,0.1
1987,CAM,0.11
1987,LAM,0.59
1987,SAS,0.86
1987,SEA,0.25
1987,CHI,0.27
1987,MAF,0.23
1987,SSA,0.44
1987,SIS,0.01
1988,USA,0.67
1988,CAN,0.09
1988,WEU,0.56
1988,JPK,0.07
1988,ANZ,0.06
1988,EEU,0.15
1988,FSU,0.08
1988,MDE,0.1
1988,CAM,0.11
1988,LAM,0.59
1988,SAS,0.86
1988,SEA,0.25
1988,CHI,0.27
1988,MAF,0.23
1988,SSA,0.44
1988,SIS,0.01
1989,USA,0.68
1989,CAN,0.09
1989,WEU,0.56
1989,JPK,0.07
1989,ANZ,0.06
1989,EEU,0.15
1989,FSU,0.09
1989,MDE,0.1
1989,CAM,0.11
1989,LAM,0.6
1989,SAS,0.87
1989,SEA,0.25
1989,CHI,0.27
1989,MAF,0.23
1989,SSA,0.44
1989,SIS,0.01
1990,USA,0.68
1990,CAN,0.09
1990,WEU,0.56
1990,JPK,0.07
1990,ANZ,0.06
1990,EEU,0.15
1990,FSU,0.09
1990,MDE,0.11
1990,CAM,0.11
1990,LAM,0.6
1990,SAS,0.88
1990,SEA,0.25
1990,CHI,0.28
1990,MAF,0.23
1990,SSA,0.45
1990,SIS,0.01
1991,USA,0.7
1991,CAN,0.1
1991,WEU,0.58
1991,JPK,0.07
1991,ANZ,0.06
1991,EEU,0.15
1991,FSU,0.09
1991,MDE,0.11
1991,CAM,0.11
1991,LAM,0.62
1991,SAS,0.9
1991,SEA,0.26
1991,CHI,0.28
1991,MAF,0.24
1991,SSA,0.46
1991,SIS,0.01
1992,USA,0.72
1992,CAN,0.1
1992,WEU,0.6
1992,JPK,0.07
1992,ANZ,0.07
1992,EEU,0.16
1992,FSU,0.09
1992,MDE,0.11
1992,CAM,0.12
1992,LAM,0.63
1992,SAS,0.92
1992,SEA,0.26
1992,CHI,0.29
1992,MAF,0.25
1992,SSA,0.47
1992,SIS,0.01
1993,USA,0.74
1993,CAN,0.1
1993,WEU,0.61
1993,JPK,0.07
1993,ANZ,0.07
1993,EEU,0.16
1993,FSU,0.09
1993,MDE,0.11
1993,CAM,0.12
1993,LAM,0.65
1993,SAS,0.95
1993,SEA,0.27
1993,CHI,0.3
1993,MAF,0.25
1993,SSA,0.48
1993,SIS,0.01
1994,USA,0.76
1994,CAN,0.1
1994,WEU,0.63
1994,JPK,0.08
1994,ANZ,0.07
1994,EEU,0.16
1994,FSU,0.1
1994,MDE,0.12
1994,CAM,0.12
1994,LAM,0.67
1994,SAS,0.97
1994,SEA,0.28
1994,CHI,0.31
1994,MAF,0.26
1994,SSA,0.49
1994,SIS,0.01
1995,USA,0.78
1995,CAN,0.11
1995,WEU,0.64
1995,JPK,0.08
1995,ANZ,0.07
1995,EEU,0.17
1995,FSU,0.1
1995,MDE,0.12
1995,CAM,0.12
1995,LAM,0.68
1995,SAS,1.0
1995,SEA,0.29
1995,CHI,0.31
1995,MAF,0.27
1995,SSA,0.51
1995,SIS,0.01
1996,USA,0.8
1996,CAN,0.11
1996,WEU,0.66
1996,JPK,0.08
1996,ANZ,0.07
1996,EEU,0.17
1996,FSU,0.1
1996,MDE,0.12
1996,CAM,0.13
1996,LAM,0.7
1996,SAS,1.02
1996,SEA,0.29
1996,CHI,0.32
1996,MAF,0.27
1996,SSA,0.52
1996,SIS,0.01
1997,USA,0.81
1997,CAN,0.11
1997,WEU,0.67
1997,JPK,0.08
1997,ANZ,0.07
1997,EEU,0.18
1997,FSU,0.1
1997,MDE,0.13
1997,CAM,0.13
1997,LAM,0.72
1997,SAS,1.05
1997,SEA,0.3
1997,CHI,0.33
1997,MAF,0.28
1997,SSA,0.53
1997,SIS,0.01
1998,USA,0.83
1998,CAN,0.11
1998,WEU,0.69
1998,JPK,0.08
1998,ANZ,0.08
1998,EEU,0.18
1998,FSU,0.11
1998,MDE,0.13
1998,CAM,0.13
1998,LAM,0.74
1998,SAS,1.07
1998,SEA,0.31
1998,CHI,0.34
1998,MAF,0.29
1998,SSA,0.54
1998,SIS,0.01
1999,USA,0.85
1999,CAN,0.12
1999,WEU,0.71
1999,JPK,0.09
1999,ANZ,0.08
1999,EEU,0.18
1999,FSU,0.11
1999,MDE,0.13
1999,CAM,0.14
1999,LAM,0.75
1999,SAS,1.1
1999,SEA,0.31
1999,CHI,0.34
1999,MAF,0.29
1999,SSA,0.56
1999,SIS,0.01
2000,USA,0.87
2000,CAN,0.12
2000,WEU,0.72
2000,JPK,0.09
2000,ANZ,0.08
2000,EEU,0.19
2000,FSU,0.11
2000,MDE,0.13
2000,CAM,0.14
2000,LAM,0.77
2000,SAS,1.12
2000,SEA,0.32
2000,CHI,0.35
2000,MAF,0.3
2000,SSA,0.57
2000,SIS,0.01
2001,USA,0.88
2001,CAN,0.12
2001,WEU,0.72
2001,JPK,0.09
2001,ANZ,0.08
2001,EEU,0.19
2001,FSU,0.11
2001,MDE,0.14
2001,CAM,0.14
2001,LAM,0.78
2001,SAS,1.14
2001,SEA,0.33
2001,CHI,0.35
2001,MAF,0.31
2001,SSA,0.58
2001,SIS,0.01
2002,USA,0.89
2002,CAN,0.12
2002,WEU,0.72
2002,JPK,0.09
2002,ANZ,0.08
2002,EEU,0.19
2002,FSU,0.11
2002,MDE,0.14
2002,CAM,0.14
2002,LAM,0.78
2002,SAS,1.15
2002,SEA,0.33
2002,CHI,0.35
2002,MAF,0.32
2002,SSA,0.6
2002,SIS,0.01
2003,USA,0.89
2003,CAN,0.12
2003,WEU,0.73
2003,JPK,0.09
2003,ANZ,0.08
2003,EEU,0.2
2003,FSU,0.11
2003,MDE,0.15
2003,CAM,0.15
2003,LAM,0.79
2003,SAS,1.16
2003,SEA,0.34
2003,CHI,0.35
2003,MAF,0.33
2003,SSA,0.61
2003,SIS,0.01
2004,USA,0.9
2004,CAN,0.12
2004,WEU,0.73
2004,JPK,0.09
2004,ANZ,0.08
2004,EEU,0.2
2004,FSU,0.11
2004,MDE,0.15
2004,CAM,0.15
2004,LAM,0.8
2004,SAS,1.18
2004,SEA,0.34
2004,CHI,0.36
2004,MAF,0.34
2004,SSA,0.63
2004,SIS,0.01
2005,USA,0.91
2005,CAN,0.12
2005,WEU,0.73
2005,JPK,0.09
2005,ANZ,0.08
2005,EEU,0.2
2005,FSU,0.12
2005,MDE,0.15
2005,CAM,0.15
2005,LAM,0.8
2005,SAS,1.19
2005,SEA,0.34
2005,CHI,0.36
2005,MAF,0.35
2005,SSA,0.64
2005,SIS,0.01
2006,USA,0.91
2006,CAN,0.12
2006,WEU,0.73
2006,JPK,0.1
2006,ANZ,0.08
2006,EEU,0.21
2006,FSU,0.12
2006,MDE,0.16
2006,CAM,0.15
2006,LAM,0.81
2006,SAS,1.21
2006,SEA,0.35
2006,CHI,0.36
2006,MAF,0.36
2006,SSA,0.66
2006,SIS,0.01
2007,USA,0.92
2007,CAN,0.12
2007,WEU,0.73
2007,JPK,0.1
2007,ANZ,0.08
2007,EEU,0.21
2007,FSU,0.12
2007,MDE,0.16
2007,CAM,0.16
2007,LAM,0.81
2007,SAS,1.22
2007,SEA,0.35
2007,CHI,0.36
2007,MAF,0.37
2007,SSA,0.67
2007,SIS,0.01
2008,USA,0.92
2008,CAN,0.12
2008,WEU,0.72
2008,JPK,0.1
2008,ANZ,0.08
2008,EEU,0.21
2008,FSU,0.12
2008,MDE,0.17
2008,CAM,0.16
2008,LAM,0.82
2008,SAS,1.23
2008,SEA,0.36
2008,CHI,0.36
2008,MAF,0.38
2008,SSA,0.68
2008,SIS,0.01
2009,USA,0.92
2009,CAN,0.13
2009,WEU,0.72
2009,JPK,0.1
2009,ANZ,0.08
2009,EEU,0.21
2009,FSU,0.13
2009,MDE,0.17
2009,CAM,0.16
2009,LAM,0.82
2009,SAS,1.24
2009,SEA,0.36
2009,CHI,0.36
2009,MAF,0.39
2009,SSA,0.69
2009,SIS,0.01
2010,USA,0.92
2010,CAN,0.13
2010,WEU,0.72
2010,JPK,0.1
2010,ANZ,0.08
2010,EEU,0.21
2010,FSU,0.13
2010,MDE,0.18
2010,CAM,0.16
2010,LAM,0.82
2010,SAS,1.24
2010,SEA,0.37
2010,CHI,0.36
2010,MAF,0.4
2010,SSA,0.69
2010,SIS,0.01
2011,USA,0.93
2011,CAN,0.13
2011,WEU,0.72
2011,JPK,0.1
2011,ANZ,0.08
2011,EEU,0.22
2011,FSU,0.13
2011,MDE,0.18
2011,CAM,0.17
2011,LAM,0.83
2011,SAS,1.26
2011,SEA,0.37
2011,CHI,0.36
2011,MAF,0.41
2011,SSA,0.71
2011,SIS,0.01
2012,USA,0.93
2012,CAN,0.13
2012,WEU,0.72
2012,JPK,0.1
2012,ANZ,0.08
2012,EEU,0.22
2012,FSU,0.13
2012,MDE,0.18
2012,CAM,0.17
2012,LAM,0.84
2012,SAS,1.27
2012,SEA,0.38
2012,CHI,0.36
2012,MAF,0.42
2012,SSA,0.72
2012,SIS,0.01
2013,USA,0.93
2013,CAN,0.13
2013,WEU,0.72
2013,JPK,0.1
2013,ANZ,0.08
2013,EEU,0.22
2013,FSU,0.14
2013,MDE,0.19
2013,CAM,0.17
2013,LAM,0.84
2013,SAS,1.28
2013,SEA,0.38
2013,CHI,0.36
2013,MAF,0.43
2013,SSA,0.73
2013,SIS,0.01
2014,USA,0.94
2014,CAN,0.13
2014,WEU,0.71
2014,JPK,0.1
2014,ANZ,0.08
2014,EEU,0.22
2014,FSU,0.14
2014,MDE,0.19
2014,CAM,0.17
2014,LAM,0.85
2014,SAS,1.3
2014,SEA,0.38
2014,CHI,0.36
2014,MAF,0.43
2014,SSA,0.74
2014,SIS,0.01
2015,USA,0.93
2015,CAN,0.13
2015,WEU,0.71
2015,JPK,0.1
2015,ANZ,0.09
2015,EEU,0.22
2015,FSU,0.14
2015,MDE,0.19
2015,CAM,0.17
2015,LAM,0.87
2015,SAS,1.31
2015,SEA,0.39
2015,CHI,0.36
2015,MAF,0.44
2015,SSA,0.75
2015,SIS,0.01
2016,USA,0.94
2016,CAN,0.13
2016,WEU,0.71
2016,JPK,0.1
2016,ANZ,0.09
2016,EEU,0.22
2016,FSU,0.14
2016,MDE,0.19
2016,CAM,0.18
2016,LAM,0.87
2016,SAS,1.32
2016,SEA,0.39
2016,CHI,0.36
2016,MAF,0.45
2016,SSA,0.76
2016,SIS,0.01
2017,USA,0.94
2017,CAN,0.13
2017,WEU,0.71
2017,JPK,0.1
2017,ANZ,0.09
2017,EEU,0.22
2017,FSU,0.14
2017,MDE,0.2
2017,CAM,0.18
2017,LAM,0.88
2017,SAS,1.33
2017,SEA,0.4
2017,CHI,0.36
2017,MAF,0.45
2017,SSA,0.77
2017,SIS,0.01
2018,USA,0.95
2018,CAN,0.13
2018,WEU,0.7
2018,JPK,0.1
2018,ANZ,0.09
2018,EEU,0.22
2018,FSU,0.14
2018,MDE,0.2
2018,CAM,0.18
2018,LAM,0.88
2018,SAS,1.34
2018,SEA,0.4
2018,CHI,0.36
2018,MAF,0.46
2018,SSA,0.79
2018,SIS,0.01
2019,USA,0.95
2019,CAN,0.13
2019,WEU,0.7
2019,JPK,0.1
2019,ANZ,0.09
2019,EEU,0.22
2019,FSU,0.15
2019,MDE,0.21
2019,CAM,0.18
2019,LAM,0.89
2019,SAS,1.35
2019,SEA,0.4
2019,CHI,0.36
2019,MAF,0.46
2019,SSA,0.8
2019,SIS,0.01
2020,USA,0.95
2020,CAN,0.13
2020,WEU,0.7
2020,JPK,0.1
2020,ANZ,0.09
2020,EEU,0.22
2020,FSU,0.15
2020,MDE,0.21
2020,CAM,0.19
2020,LAM,0.89
2020,SAS,1.36
2020,SEA,0.4
2020,CHI,0.36
2020,MAF,0.47
2020,SSA,0.81
2020,SIS,0.01
2021,USA,0.95
2021,CAN,0.13
2021,WEU,0.7
2021,JPK,0.11
2021,ANZ,0.09
2021,EEU,0.22
2021,FSU,0.15
2021,MDE,0.21
2021,CAM,0.19
2021,LAM,0.9
2021,SAS,1.37
2021,SEA,0.4
2021,CHI,0.36
2021,MAF,0.48
2021,SSA,0.82
2021,SIS,0.01
2022,USA,0.95
2022,CAN,0.13
2022,WEU,0.69
2022,JPK,0.11
2022,ANZ,0.09
2022,EEU,0.22
2022,FSU,0.15
2022,MDE,0.22
2022,CAM,0.19
2022,LAM,0.91
2022,SAS,1.38
2022,SEA,0.41
2022,CHI,0.36
2022,MAF,0.48
2022,SSA,0.83
2022,SIS,0.01
2023,USA,0.95
2023,CAN,0.13
2023,WEU,0.69
2023,JPK,0.11
2023,ANZ,0.09
2023,EEU,0.22
2023,FSU,0.15
2023,MDE,0.22
2023,CAM,0.19
2023,LAM,0.92
2023,SAS,1.39
2023,SEA,0.41
2023,CHI,0.36
2023,MAF,0.49
2023,SSA,0.84
2023,SIS,0.01
2024,USA,0.96
2024,CAN,0.13
2024,WEU,0.68
2024,JPK,0.11
2024,ANZ,0.09
2024,EEU,0.22
2024,FSU,0.16
2024,MDE,0.23
2024,CAM,0.19
2024,LAM,0.93
2024,SAS,1.4
2024,SEA,0.41
2024,CHI,0.36
2024,MAF,0.49
2024,SSA,0.85
2024,SIS,0.01
2025,USA,0.95
2025,CAN,0.13
2025,WEU,0.68
2025,JPK,0.1
2025,ANZ,0.09
2025,EEU,0.22
2025,FSU,0.16
2025,MDE,0.23
2025,CAM,0.19
2025,LAM,0.94
2025,SAS,1.41
2025,SEA,0.41
2025,CHI,0.36
2025,MAF,0.49
2025,SSA,0.85
2025,SIS,0.01
2026,USA,0.96
2026,CAN,0.13
2026,WEU,0.68
2026,JPK,0.11
2026,ANZ,0.09
2026,EEU,0.22
2026,FSU,0.16
2026,MDE,0.24
2026,CAM,0.19
2026,LAM,0.95
2026,SAS,1.42
2026,SEA,0.42
2026,CHI,0.36
2026,MAF,0.5
2026,SSA,0.86
2026,SIS,0.01
2027,USA,0.96
2027,CAN,0.13
2027,WEU,0.67
2027,JPK,0.11
2027,ANZ,0.09
2027,EEU,0.22
2027,FSU,0.16
2027,MDE,0.24
2027,CAM,0.2
2027,LAM,0.95
2027,SAS,1.43
2027,SEA,0.42
2027,CHI,0.36
2027,MAF,0.51
2027,SSA,0.87
2027,SIS,0.01
2028,USA,0.96
2028,CAN,0.13
2028,WEU,0.67
2028,JPK,0.11
2028,ANZ,0.1
2028,EEU,0.22
2028,FSU,0.17
2028,MDE,0.25
2028,CAM,0.2
2028,LAM,0.96
2028,SAS,1.44
2028,SEA,0.42
2028,CHI,0.36
2028,MAF,0.51
2028,SSA,0.89
2028,SIS,0.01
2029,USA,0.96
2029,CAN,0.13
2029,WEU,0.67
2029,JPK,0.11
2029,ANZ,0.1
2029,EEU,0.22
2029,FSU,0.17
2029,MDE,0.25
2029,CAM,0.2
2029,LAM,0.97
2029,SAS,1.46
