timestamp,country,admin1,admin2,admin3,lat,lng,feature,value,AgeGroupVacc
1665100800000,,,,,,,7-day_avg_group_cases_per_100k,10.563735,65+ Years
1665014400000,,,,,,,7-day_avg_group_cases_per_100k,6.214791,<2 Years
1665014400000,,,,,,,7-day_avg_group_cases_per_100k,6.3008585,2 - 4 Years
1665014400000,,,,,,,7-day_avg_group_cases_per_100k,4.1361437,5 - 11 Years
1665014400000,,,,,,,7-day_avg_group_cases_per_100k,5.561501,12 - 17 Years
1665014400000,,,,,,,7-day_avg_group_cases_per_100k,8.572126,18 - 24 Years
1665014400000,,,,,,,7-day_avg_group_cases_per_100k,9.825783,25 - 49 Years
1665014400000,,,,,,,7-day_avg_group_cases_per_100k,9.662871,50 - 64 Years
1665014400000,,,,,,,7-day_avg_group_cases_per_100k,12.524582,65+ Years
1664928000000,,,,,,,7-day_avg_group_cases_per_100k,6.756015,<2 Years
1664928000000,,,,,,,7-day_avg_group_cases_per_100k,6.712981,2 - 4 Years
1664928000000,,,,,,,7-day_avg_group_cases_per_100k,4.3360205,5 - 11 Years
1664928000000,,,,,,,7-day_avg_group_cases_per_100k,5.8584495,12 - 17 Years
1664928000000,,,,,,,7-day_avg_group_cases_per_100k,9.015553,18 - 24 Years
1664928000000,,,,,,,7-day_avg_group_cases_per_100k,10.529107,25 - 49 Years
1664928000000,,,,,,,7-day_avg_group_cases_per_100k,10.4161415,50 - 64 Years
1664928000000,,,,,,,7-day_avg_group_cases_per_100k,13.6178465,65+ Years
1664841600000,,,,,,,7-day_avg_group_cases_per_100k,7.184536,<2 Years
1664841600000,,,,,,,7-day_avg_group_cases_per_100k,6.63482,2 - 4 Years
1664841600000,,,,,,,7-day_avg_group_cases_per_100k,4.079395,5 - 11 Years
1664841600000,,,,,,,7-day_avg_group_cases_per_100k,5.5717797,12 - 17 Years
1664841600000,,,,,,,7-day_avg_group_cases_per_100k,8.043608,18 - 24 Years
1664841600000,,,,,,,7-day_avg_group_cases_per_100k,9.546278,25 - 49 Years
1664841600000,,,,,,,7-day_avg_group_cases_per_100k,10.23997,50 - 64 Years
1664841600000,,,,,,,7-day_avg_group_cases_per_100k,13.884754,65+ Years
1664755200000,,,,,,,7-day_avg_group_cases_per_100k,7.785208,<2 Years
1664755200000,,,,,,,7-day_avg_group_cases_per_100k,7.23524,2 - 4 Years
1664755200000,,,,,,,7-day_avg_group_cases_per_100k,4.4108486,5 - 11 Years
1664755200000,,,,,,,7-day_avg_group_cases_per_100k,6.0788765,12 - 17 Years
1664755200000,,,,,,,7-day_avg_group_cases_per_100k,8.74042,18 - 24 Years
1664755200000,,,,,,,7-day_avg_group_cases_per_100k,10.287699,25 - 49 Years
1664755200000,,,,,,,7-day_avg_group_cases_per_100k,10.97712,50 - 64 Years
1664755200000,,,,,,,7-day_avg_group_cases_per_100k,14.742824,65+ Years
1664668800000,,,,,,,7-day_avg_group_cases_per_100k,8.504776,<2 Years
1664668800000,,,,,,,7-day_avg_group_cases_per_100k,8.009747,2 - 4 Years
1664668800000,,,,,,,7-day_avg_group_cases_per_100k,4.92862,5 - 11 Years
1664668800000,,,,,,,7-day_avg_group_cases_per_100k,6.711605,12 - 17 Years
1664668800000,,,,,,,7-day_avg_group_cases_per_100k,9.593237,18 - 24 Years
1664668800000,,,,,,,7-day_avg_group_cases_per_100k,11.155314,25 - 49 Years
1664668800000,,,,,,,7-day_avg_group_cases_per_100k,11.810984,50 - 64 Years
1664668800000,,,,,,,7-day_avg_group_cases_per_100k,15.6881,65+ Years
1664582400000,,,,,,,7-day_avg_group_cases_per_100k,8.721514,<2 Years
1664582400000,,,,,,,7-day_avg_group_cases_per_100k,8.2673235,2 - 4 Years
1664582400000,,,,,,,7-day_avg_group_cases_per_100k,5.118453,5 - 11 Years
1664582400000,,,,,,,7-day_avg_group_cases_per_100k,6.919469,12 - 17 Years
1664582400000,,,,,,,7-day_avg_group_cases_per_100k,9.819204,18 - 24 Years
1664582400000,,,,,,,7-day_avg_group_cases_per_100k,11.451882,25 - 49 Years
1664582400000,,,,,,,7-day_avg_group_cases_per_100k,12.087501,50 - 64 Years
1664582400000,,,,,,,7-day_avg_group_cases_per_100k,16.009182,65+ Years
1664496000000,,,,,,,7-day_avg_group_cases_per_100k,8.925866,<2 Years
1664496000000,,,,,,,7-day_avg_group_cases_per_100k,8.476937,2 - 4 Years
1664496000000,,,,,,,7-day_avg_group_cases_per_100k,5.346453,5 - 11 Years
1664496000000,,,,,,,7-day_avg_group_cases_per_100k,7.1787276,12 - 17 Years
1664496000000,,,,,,,7-day_avg_group_cases_per_100k,10.0499,18 - 24 Years
1664496000000,,,,,,,7-day_avg_group_cases_per_100k,11.770938,25 - 49 Years
1664496000000,,,,,,,7-day_avg_group_cases_per_100k,12.416006,50 - 64 Years
1664496000000,,,,,,,7-day_avg_group_cases_per_100k,16.37651,65+ Years
1664409600000,,,,,,,7-day_avg_group_cases_per_100k,8.941967,<2 Years
1664409600000,,,,,,,7-day_avg_group_cases_per_100k,8.599508,2 - 4 Years
1664409600000,,,,,,,7-day_avg_group_cases_per_100k,5.5056515,5 - 11 Years
1664409600000,,,,,,,7-day_avg_group_cases_per_100k,7.5310683,12 - 17 Years
1664409600000,,,,,,,7-day_avg_group_cases_per_100k,10.273031,18 - 24 Years
1664409600000,,,,,,,7-day_avg_group_cases_per_100k,11.9550705,25 - 49 Years
1664409600000,,,,,,,7-day_avg_group_cases_per_100k,12.518621,50 - 64 Years
1664409600000,,,,,,,7-day_avg_group_cases_per_100k,16.335285,65+ Years
1664323200000,,,,,,,7-day_avg_group_cases_per_100k,9.204529,<2 Years
1664323200000,,,,,,,7-day_avg_group_cases_per_100k,8.968998,2 - 4 Years
1664323200000,,,,,,,7-day_avg_group_cases_per_100k,5.9295106,5 - 11 Years
1664323200000,,,,,,,7-day_avg_group_cases_per_100k,8.180928,12 - 17 Years
1664323200000,,,,,,,7-day_avg_group_cases_per_100k,10.828024,18 - 24 Years
1664323200000,,,,,,,7-day_avg_group_cases_per_100k,12.429289,25 - 49 Years
1664323200000,,,,,,,7-day_avg_group_cases_per_100k,12.981525,50 - 64 Years
1664323200000,,,,,,,7-day_avg_group_cases_per_100k,16.688608,65+ Years
1664236800000,,,,,,,7-day_avg_group_cases_per_100k,9.216913,<2 Years
1664236800000,,,,,,,7-day_avg_group_cases_per_100k,8.919259,2 - 4 Years
1664236800000,,,,,,,7-day_avg_group_cases_per_100k,6.032964,5 - 11 Years
1664236800000,,,,,,,7-day_avg_group_cases_per_100k,8.3876505,12 - 17 Years
1664236800000,,,,,,,7-day_avg_group_cases_per_100k,10.842206,18 - 24 Years
1664236800000,,,,,,,7-day_avg_group_cases_per_100k,12.511566,25 - 49 Years
1664236800000,,,,,,,7-day_avg_group_cases_per_100k,13.1352215,50 - 64 Years
1664236800000,,,,,,,7-day_avg_group_cases_per_100k,16.948116,65+ Years
1664150400000,,,,,,,7-day_avg_group_cases_per_100k,9.358103,<2 Years
1664150400000,,,,,,,7-day_avg_group_cases_per_100k,9.226574,2 - 4 Years
1664150400000,,,,,,,7-day_avg_group_cases_per_100k,6.481934,5 - 11 Years
1664150400000,,,,,,,7-day_avg_group_cases_per_100k,9.024947,12 - 17 Years
1664150400000,,,,,,,7-day_avg_group_cases_per_100k,11.066283,18 - 24 Years
1664150400000,,,,,,,7-day_avg_group_cases_per_100k,12.796626,25 - 49 Years
1664150400000,,,,,,,7-day_avg_group_cases_per_100k,13.393804,50 - 64 Years
1664150400000,,,,,,,7-day_avg_group_cases_per_100k,17.264177,65+ Years
1664064000000,,,,,,,7-day_avg_group_cases_per_100k,9.613234,<2 Years
1664064000000,,,,,,,7-day_avg_group_cases_per_100k,9.677777,2 - 4 Years
1664064000000,,,,,,,7-day_avg_group_cases_per_100k,7.0303397,5 - 11 Years
1664064000000,,,,,,,7-day_avg_group_cases_per_100k,9.854118,12 - 17 Years
1664064000000,,,,,,,7-day_avg_group_cases_per_100k,11.297924,18 - 24 Years
1664064000000,,,,,,,7-day_avg_group_cases_per_100k,13.170445,25 - 49 Years
1664064000000,,,,,,,7-day_avg_group_cases_per_100k,13.698471,50 - 64 Years
1664064000000,,,,,,,7-day_avg_group_cases_per_100k,17.649212,65+ Years
1663977600000,,,,,,,7-day_avg_group_cases_per_100k,9.572363,<2 Years
1663977600000,,,,,,,7-day_avg_group_cases_per_100k,9.697318,2 - 4 Years
1663977600000,,,,,,,7-day_avg_group_cases_per_100k,7.1503663,5 - 11 Years
1663977600000,,,,,,,7-day_avg_group_cases_per_100k,10.200177,12 - 17 Years
1663977600000,,,,,,,7-day_avg_group_cases_per_100k,11.299342,18 - 24 Years
1663977600000,,,,,,,7-day_avg_group_cases_per_100k,13.201266,25 - 49 Years
1663977600000,,,,,,,7-day_avg_group_cases_per_100k,13.725487,50 - 64 Years
1663977600000,,,,,,,7-day_avg_group_cases_per_100k,17.68198,65+ Years
1663891200000,,,,,,,7-day_avg_group_cases_per_100k,9.743276,<2 Years
1663891200000,,,,,,,7-day_avg_group_cases_per_100k,9.965553,2 - 4 Years
1663891200000,,,,,,,7-day_avg_group_cases_per_100k,7.401468,5 - 11 Years
1663891200000,,,,,,,7-day_avg_group_cases_per_100k,10.543382,12 - 17 Years
1663891200000,,,,,,,7-day_avg_group_cases_per_100k,11.597166,18 - 24 Years
1663891200000,,,,,,,7-day_avg_group_cases_per_100k,13.340424,25 - 49 Years
1663891200000,,,,,,,7-day_avg_group_cases_per_100k,13.827648,50 - 64 Years
1663891200000,,,,,,,7-day_avg_group_cases_per_100k,17.812792,65+ Years
1663804800000,,,,,,,7-day_avg_group_cases_per_100k,9.978591,<2 Years
1663804800000,,,,,,,7-day_avg_group_cases_per_100k,10.232012,2 - 4 Years
1663804800000,,,,,,,7-day_avg_group_cases_per_100k,7.7911773,5 - 11 Years
1663804800000,,,,,,,7-day_avg_group_cases_per_100k,11.001939,12 - 17 Years
1663804800000,,,,,,,7-day_avg_group_cases_per_100k,12.021211,18 - 24 Years
1663804800000,,,,,,,7-day_avg_group_cases_per_100k,13.59625,25 - 49 Years
1663804800000,,,,,,,7-day_avg_group_cases_per_100k,14.031744,50 - 64 Years
1663804800000,,,,,,,7-day_avg_group_cases_per_100k,18.06358,65+ Years
1663718400000,,,,,,,7-day_avg_group_cases_per_100k,10.22753,<2 Years
1663718400000,,,,,,,7-day_avg_group_cases_per_100k,10.528668,2 - 4 Years
1663718400000,,,,,,,7-day_avg_group_cases_per_100k,8.190429,5 - 11 Years
1663718400000,,,,,,,7-day_avg_group_cases_per_100k,11.423947,12 - 17 Years
1663718400000,,,,,,,7-day_avg_group_cases_per_100k,12.391363,18 - 24 Years
1663718400000,,,,,,,7-day_avg_group_cases_per_100k,13.808822,25 - 49 Years
1663718400000,,,,,,,7-day_avg_group_cases_per_100k,14.142532,50 - 64 Years
1663718400000,,,,,,,7-day_avg_group_cases_per_100k,18.264156,65+ Years
1663632000000,,,,,,,7-day_avg_group_cases_per_100k,10.548301,<2 Years
1663632000000,,,,,,,7-day_avg_group_cases_per_100k,10.93191,2 - 4 Years
1663632000000,,,,,,,7-day_avg_group_cases_per_100k,8.458605,5 - 11 Years
1663632000000,,,,,,,7-day_avg_group_cases_per_100k,11.757443,12 - 17 Years
1663632000000,,,,,,,7-day_avg_group_cases_per_100k,12.858426,18 - 24 Years
1663632000000,,,,,,,7-day_avg_group_cases_per_100k,14.015308,25 - 49 Years
1663632000000,,,,,,,7-day_avg_group_cases_per_100k,14.252186,50 - 64 Years
1663632000000,,,,,,,7-day_avg_group_cases_per_100k,18.358234,65+ Years
1663545600000,,,,,,,7-day_avg_group_cases_per_100k,10.885172,<2 Years
1663545600000,,,,,,,7-day_avg_group_cases_per_100k,11.276529,2 - 4 Years
1663545600000,,,,,,,7-day_avg_group_cases_per_100k,8.74235,5 - 11 Years
1663545600000,,,,,,,7-day_avg_group_cases_per_100k,12.238843,12 - 17 Years
1663545600000,,,,,,,7-day_avg_group_cases_per_100k,13.45691,18 - 24 Years
1663545600000,,,,,,,7-day_avg_group_cases_per_100k,14.311083,25 - 49 Years
1663545600000,,,,,,,7-day_avg_group_cases_per_100k,14.53188,50 - 64 Years
1663545600000,,,,,,,7-day_avg_group_cases_per_100k,18.674032,65+ Years
1663459200000,,,,,,,7-day_avg_group_cases_per_100k,11.017692,<2 Years
1663459200000,,,,,,,7-day_avg_group_cases_per_100k,11.331597,2 - 4 Years
1663459200000,,,,,,,7-day_avg_group_cases_per_100k,9.07079,5 - 11 Years
1663459200000,,,,,,,7-day_avg_group_cases_per_100k,12.550068,12 - 17 Years
1663459200000,,,,,,,7-day_avg_group_cases_per_100k,13.873863,18 - 24 Years
1663459200000,,,,,,,7-day_avg_group_cases_per_100k,14.351031,25 - 49 Years
1663459200000,,,,,,,7-day_avg_group_cases_per_100k,14.525978,50 - 64 Years
1663459200000,,,,,,,7-day_avg_group_cases_per_100k,18.517586,65+ Years
1663372800000,,,,,,,7-day_avg_group_cases_per_100k,11.203466,<2 Years
1663372800000,,,,,,,7-day_avg_group_cases_per_100k,11.523448,2 - 4 Years
1663372800000,,,,,,,7-day_avg_group_cases_per_100k,9.167213,5 - 11 Years
1663372800000,,,,,,,7-day_avg_group_cases_per_100k,12.666563,12 - 17 Years
1663372800000,,,,,,,7-day_avg_group_cases_per_100k,14.149941,18 - 24 Years
1663372800000,,,,,,,7-day_avg_group_cases_per_100k,14.46241,25 - 49 Years
1663372800000,,,,,,,7-day_avg_group_cases_per_100k,14.623144,50 - 64 Years
1663372800000,,,,,,,7-day_avg_group_cases_per_100k,18.537935,65+ Years
1663286400000,,,,,,,7-day_avg_group_cases_per_100k,11.388003,<2 Years
1663286400000,,,,,,,7-day_avg_group_cases_per_100k,11.756155,2 - 4 Years
1663286400000,,,,,,,7-day_avg_group_cases_per_100k,9.306826,5 - 11 Years
1663286400000,,,,,,,7-day_avg_group_cases_per_100k,12.882993,12 - 17 Years
1663286400000,,,,,,,7-day_avg_group_cases_per_100k,14.475184,18 - 24 Years
1663286400000,,,,,,,7-day_avg_group_cases_per_100k,14.658843,25 - 49 Years
1663286400000,,,,,,,7-day_avg_group_cases_per_100k,14.730528,50 - 64 Years
1663286400000,,,,,,,7-day_avg_group_cases_per_100k,18.657911,65+ Years
1663200000000,,,,,,,7-day_avg_group_cases_per_100k,11.722398,<2 Years
1663200000000,,,,,,,7-day_avg_group_cases_per_100k,11.905372,2 - 4 Years
1663200000000,,,,,,,7-day_avg_group_cases_per_100k,9.425848,5 - 11 Years
1663200000000,,,,,,,7-day_avg_group_cases_per_100k,13.03832,12 - 17 Years
1663200000000,,,,,,,7-day_avg_group_cases_per_100k,14.835409,18 - 24 Years
1663200000000,,,,,,,7-day_avg_group_cases_per_100k,14.946284,25 - 49 Years
1663200000000,,,,,,,7-day_avg_group_cases_per_100k,14.89444,50 - 64 Years
1663200000000,,,,,,,7-day_avg_group_cases_per_100k,18.737455,65+ Years
1663113600000,,,,,,,7-day_avg_group_cases_per_100k,12.2388525,<2 Years
1663113600000,,,,,,,7-day_avg_group_cases_per_100k,12.162949,2 - 4 Years
1663113600000,,,,,,,7-day_avg_group_cases_per_100k,9.488121,5 - 11 Years
1663113600000,,,,,,,7-day_avg_group_cases_per_100k,13.358109,12 - 17 Years
1663113600000,,,,,,,7-day_avg_group_cases_per_100k,15.616369,18 - 24 Years
1663113600000,,,,,,,7-day_avg_group_cases_per_100k,15.452779,25 - 49 Years
1663113600000,,,,,,,7-day_avg_group_cases_per_100k,15.333734,50 - 64 Years
1663113600000,,,,,,,7-day_avg_group_cases_per_100k,19.150501,65+ Years
1663027200000,,,,,,,7-day_avg_group_cases_per_100k,12.762737,<2 Years
1663027200000,,,,,,,7-day_avg_group_cases_per_100k,12.62481,2 - 4 Years
1663027200000,,,,,,,7-day_avg_group_cases_per_100k,9.878835,5 - 11 Years
1663027200000,,,,,,,7-day_avg_group_cases_per_100k,14.082207,12 - 17 Years
1663027200000,,,,,,,7-day_avg_group_cases_per_100k,16.413403,18 - 24 Years
1663027200000,,,,,,,7-day_avg_group_cases_per_100k,16.065626,25 - 49 Years
1663027200000,,,,,,,7-day_avg_group_cases_per_100k,15.85748,50 - 64 Years
1663027200000,,,,,,,7-day_avg_group_cases_per_100k,19.777338,65+ Years
1662940800000,,,,,,,7-day_avg_group_cases_per_100k,13.274238,<2 Years
1662940800000,,,,,,,7-day_avg_group_cases_per_100k,13.129305,2 - 4 Years
1662940800000,,,,,,,7-day_avg_group_cases_per_100k,10.484491,5 - 11 Years
1662940800000,,,,,,,7-day_avg_group_cases_per_100k,15.022162,12 - 17 Years
1662940800000,,,,,,,7-day_avg_group_cases_per_100k,17.42884,18 - 24 Years
1662940800000,,,,,,,7-day_avg_group_cases_per_100k,16.961285,25 - 49 Years
1662940800000,,,,,,,7-day_avg_group_cases_per_100k,16.537874,50 - 64 Years
1662940800000,,,,,,,7-day_avg_group_cases_per_100k,20.344715,65+ Years
1662854400000,,,,,,,7-day_avg_group_cases_per_100k,12.668612,<2 Years
1662854400000,,,,,,,7-day_avg_group_cases_per_100k,12.312165,2 - 4 Years
1662854400000,,,,,,,7-day_avg_group_cases_per_100k,9.54738,5 - 11 Years
1662854400000,,,,,,,7-day_avg_group_cases_per_100k,13.832656,12 - 17 Years
1662854400000,,,,,,,7-day_avg_group_cases_per_100k,16.327364,18 - 24 Years
1662854400000,,,,,,,7-day_avg_group_cases_per_100k,15.758872,25 - 49 Years
1662854400000,,,,,,,7-day_avg_group_cases_per_100k,15.314209,50 - 64 Years
1662854400000,,,,,,,7-day_avg_group_cases_per_100k,19.146273,65+ Years
1662768000000,,,,,,,7-day_avg_group_cases_per_100k,13.064932,<2 Years
1662768000000,,,,,,,7-day_avg_group_cases_per_100k,12.633692,2 - 4 Years
1662768000000,,,,,,,7-day_avg_group_cases_per_100k,9.856738,5 - 11 Years
1662768000000,,,,,,,7-day_avg_group_cases_per_100k,14.263231,12 - 17 Years
1662768000000,,,,,,,7-day_avg_group_cases_per_100k,16.767483,18 - 24 Years
1662768000000,,,,,,,7-day_avg_group_cases_per_100k,16.083086,25 - 49 Years
1662768000000,,,,,,,7-day_avg_group_cases_per_100k,15.641807,50 - 64 Years
1662768000000,,,,,,,7-day_avg_group_cases_per_100k,19.610058,65+ Years
1662681600000,,,,,,,7-day_avg_group_cases_per_100k,13.327494,<2 Years
1662681600000,,,,,,,7-day_avg_group_cases_per_100k,12.877058,2 - 4 Years
1662681600000,,,,,,,7-day_avg_group_cases_per_100k,10.072183,5 - 11 Years
1662681600000,,,,,,,7-day_avg_group_cases_per_100k,14.595585,12 - 17 Years
1662681600000,,,,,,,7-day_avg_group_cases_per_100k,17.025597,18 - 24 Years
1662681600000,,,,,,,7-day_avg_group_cases_per_100k,16.249758,25 - 49 Years
1662681600000,,,,,,,7-day_avg_group_cases_per_100k,15.836594,50 - 64 Years
1662681600000,,,,,,,7-day_avg_group_cases_per_100k,19.819357,65+ Years
1662595200000,,,,,,,7-day_avg_group_cases_per_100k,13.649504,<2 Years
1662595200000,,,,,,,7-day_avg_group_cases_per_100k,13.365565,2 - 4 Years
1662595200000,,,,,,,7-day_avg_group_cases_per_100k,10.711989,5 - 11 Years
1662595200000,,,,,,,7-day_avg_group_cases_per_100k,15.519551,12 - 17 Years
1662595200000,,,,,,,7-day_avg_group_cases_per_100k,17.49455,18 - 24 Years
1662595200000,,,,,,,7-day_avg_group_cases_per_100k,16.510742,25 - 49 Years
1662595200000,,,,,,,7-day_avg_group_cases_per_100k,16.093813,50 - 64 Years
1662595200000,,,,,,,7-day_avg_group_cases_per_100k,20.129604,65+ Years
1662508800000,,,,,,,7-day_avg_group_cases_per_100k,15.175335,<2 Years
1662508800000,,,,,,,7-day_avg_group_cases_per_100k,15.477694,2 - 4 Years
1662508800000,,,,,,,7-day_avg_group_cases_per_100k,12.2909155,5 - 11 Years
1662508800000,,,,,,,7-day_avg_group_cases_per_100k,17.135065,12 - 17 Years
1662508800000,,,,,,,7-day_avg_group_cases_per_100k,18.998796,18 - 24 Years
1662508800000,,,,,,,7-day_avg_group_cases_per_100k,17.90562,25 - 49 Years
1662508800000,,,,,,,7-day_avg_group_cases_per_100k,17.036877,50 - 64 Years
1662508800000,,,,,,,7-day_avg_group_cases_per_100k,20.669498,65+ Years
1662422400000,,,,,,,7-day_avg_group_cases_per_100k,15.762383,<2 Years
1662422400000,,,,,,,7-day_avg_group_cases_per_100k,16.392534,2 - 4 Years
1662422400000,,,,,,,7-day_avg_group_cases_per_100k,13.191366,5 - 11 Years
1662422400000,,,,,,,7-day_avg_group_cases_per_100k,18.046469,12 - 17 Years
1662422400000,,,,,,,7-day_avg_group_cases_per_100k,20.12911,18 - 24 Years
1662422400000,,,,,,,7-day_avg_group_cases_per_100k,19.064909,25 - 49 Years
1662422400000,,,,,,,7-day_avg_group_cases_per_100k,18.073927,50 - 64 Years
1662422400000,,,,,,,7-day_avg_group_cases_per_100k,20.960453,65+ Years
1662336000000,,,,,,,7-day_avg_group_cases_per_100k,16.22806,<2 Years
1662336000000,,,,,,,7-day_avg_group_cases_per_100k,16.932558,2 - 4 Years
1662336000000,,,,,,,7-day_avg_group_cases_per_100k,13.832177,5 - 11 Years
1662336000000,,,,,,,7-day_avg_group_cases_per_100k,18.711176,12 - 17 Years
1662336000000,,,,,,,7-day_avg_group_cases_per_100k,20.620756,18 - 24 Years
1662336000000,,,,,,,7-day_avg_group_cases_per_100k,19.327482,25 - 49 Years
1662336000000,,,,,,,7-day_avg_group_cases_per_100k,18.571112,50 - 64 Years
1662336000000,,,,,,,7-day_avg_group_cases_per_100k,21.41129,65+ Years
1662249600000,,,,,,,7-day_avg_group_cases_per_100k,17.742744,<2 Years
1662249600000,,,,,,,7-day_avg_group_cases_per_100k,19.050016,2 - 4 Years
1662249600000,,,,,,,7-day_avg_group_cases_per_100k,16.301006,5 - 11 Years
1662249600000,,,,,,,7-day_avg_group_cases_per_100k,21.687513,12 - 17 Years
1662249600000,,,,,,,7-day_avg_group_cases_per_100k,22.958437,18 - 24 Years
1662249600000,,,,,,,7-day_avg_group_cases_per_100k,21.689978,25 - 49 Years
1662249600000,,,,,,,7-day_avg_group_cases_per_100k,20.647484,50 - 64 Years
1662249600000,,,,,,,7-day_avg_group_cases_per_100k,23.242647,65+ Years
1662163200000,,,,,,,7-day_avg_group_cases_per_100k,17.834393,<2 Years
1662163200000,,,,,,,7-day_avg_group_cases_per_100k,19.266735,2 - 4 Years
1662163200000,,,,,,,7-day_avg_group_cases_per_100k,16.607351,5 - 11 Years
1662163200000,,,,,,,7-day_avg_group_cases_per_100k,21.869678,12 - 17 Years
1662163200000,,,,,,,7-day_avg_group_cases_per_100k,23.07804,18 - 24 Years
1662163200000,,,,,,,7-day_avg_group_cases_per_100k,21.89329,25 - 49 Years
1662163200000,,,,,,,7-day_avg_group_cases_per_100k,20.706284,50 - 64 Years
1662163200000,,,,,,,7-day_avg_group_cases_per_100k,23.114214,65+ Years
1662076800000,,,,,,,7-day_avg_group_cases_per_100k,18.312454,<2 Years
1662076800000,,,,,,,7-day_avg_group_cases_per_100k,19.77656,2 - 4 Years
1662076800000,,,,,,,7-day_avg_group_cases_per_100k,17.305412,5 - 11 Years
1662076800000,,,,,,,7-day_avg_group_cases_per_100k,22.481277,12 - 17 Years
1662076800000,,,,,,,7-day_avg_group_cases_per_100k,23.598993,18 - 24 Years
1662076800000,,,,,,,7-day_avg_group_cases_per_100k,22.447271,25 - 49 Years
1662076800000,,,,,,,7-day_avg_group_cases_per_100k,21.119696,50 - 64 Years
1662076800000,,,,,,,7-day_avg_group_cases_per_100k,23.449831,65+ Years
1661990400000,,,,,,,7-day_avg_group_cases_per_100k,18.697628,<2 Years
1661990400000,,,,,,,7-day_avg_group_cases_per_100k,20.645214,2 - 4 Years
1661990400000,,,,,,,7-day_avg_group_cases_per_100k,18.090357,5 - 11 Years
1661990400000,,,,,,,7-day_avg_group_cases_per_100k,22.862171,12 - 17 Years
1661990400000,,,,,,,7-day_avg_group_cases_per_100k,23.834417,18 - 24 Years
1661990400000,,,,,,,7-day_avg_group_cases_per_100k,22.91911,25 - 49 Years
1661990400000,,,,,,,7-day_avg_group_cases_per_100k,21.524483,50 - 64 Years
1661990400000,,,,,,,7-day_avg_group_cases_per_100k,23.68952,65+ Years
1661904000000,,,,,,,7-day_avg_group_cases_per_100k,17.776184,<2 Years
1661904000000,,,,,,,7-day_avg_group_cases_per_100k,19.995056,2 - 4 Years
1661904000000,,,,,,,7-day_avg_group_cases_per_100k,17.896004,5 - 11 Years
1661904000000,,,,,,,7-day_avg_group_cases_per_100k,22.357931,12 - 17 Years
1661904000000,,,,,,,7-day_avg_group_cases_per_100k,22.76887,18 - 24 Years
